orderID,date,clientReferenceID,salesmanID
1,2020/05/24,740,20
2,2021/02/06,122,50
3,2021/02/25,239,8
4,2020/08/19,608,47
5,2020/12/31,953,29
6,2020/05/01,788,31
7,2020/10/06,269,42
8,2020/02/11,209,33
9,2021/02/17,634,29
10,2020/06/09,379,13
11,2020/06/27,790,30
12,2020/11/11,395,12
13,2020/02/01,551,45
14,2020/04/22,945,1
15,2020/01/25,280,47
16,2020/03/17,854,20
17,2020/04/30,346,29
18,2020/03/05,472,45
19,2020/03/30,927,12
20,2020/03/29,998,29
21,2020/04/03,202,36
22,2020/08/20,69,33
23,2020/02/17,172,2
24,2020/08/06,528,21
25,2020/03/14,134,47
26,2020/08/22,604,38
27,2020/12/04,59,22
28,2021/01/04,802,36
29,2020/10/02,916,19
30,2020/08/26,335,19
31,2020/06/26,275,8
32,2020/05/25,186,38
33,2020/06/18,335,8
34,2020/08/02,90,23
35,2020/02/08,593,24
36,2020/12/12,825,14
37,2020/07/13,199,25
38,2020/02/28,435,8
39,2020/03/19,147,5
40,2020/01/19,680,41
41,2021/02/25,368,35
42,2020/12/29,137,9
43,2020/08/12,534,36
44,2020/01/27,262,18
45,2020/01/25,741,22
46,2020/03/30,62,50
47,2020/07/21,323,42
48,2020/12/27,598,40
49,2020/03/24,160,36
50,2021/02/12,752,22
51,2020/12/03,965,46
52,2021/01/09,981,22
53,2020/03/24,754,25
54,2021/01/27,167,47
55,2020/03/24,51,32
56,2020/03/03,318,48
57,2020/01/21,932,26
58,2021/01/18,547,49
59,2020/01/11,845,48
60,2020/12/19,972,22
61,2020/06/07,31,31
62,2020/04/23,536,48
63,2020/01/14,739,31
64,2020/07/12,37,28
65,2020/12/06,334,9
66,2020/09/05,316,31
67,2020/12/30,248,46
68,2020/12/21,558,43
69,2020/05/18,10,28
70,2020/12/10,344,11
71,2020/09/06,546,30
72,2020/06/22,687,50
73,2020/08/24,220,19
74,2020/06/14,303,29
75,2021/01/16,794,45
76,2020/09/12,273,21
77,2020/04/30,76,12
78,2020/04/17,552,23
79,2020/07/14,468,25
80,2021/01/22,783,20
81,2020/08/04,412,45
82,2020/03/19,507,8
83,2020/06/06,473,18
84,2020/11/04,80,50
85,2021/01/19,871,13
86,2020/11/28,340,39
87,2020/03/12,277,14
88,2021/02/12,130,28
89,2020/05/27,835,37
90,2020/02/09,923,47
91,2020/12/22,720,43
92,2020/07/08,356,43
93,2020/01/28,303,27
94,2020/04/20,433,35
95,2020/08/22,793,13
96,2020/05/14,750,39
97,2020/06/02,4,7
98,2020/01/22,801,8
99,2020/12/01,268,19
100,2020/01/04,701,44
101,2020/07/26,596,48
102,2020/05/15,572,6
103,2020/08/16,310,6
104,2020/03/25,517,17
105,2020/06/13,483,32
106,2020/10/21,461,21
107,2020/08/30,43,40
108,2020/04/16,412,35
109,2020/06/06,179,27
110,2020/01/19,321,20
111,2020/10/15,765,24
112,2020/02/08,646,7
113,2020/08/08,128,15
114,2020/07/03,880,32
115,2021/01/31,598,42
116,2020/01/10,546,44
117,2020/06/15,936,5
118,2020/09/23,794,34
119,2020/11/02,861,11
120,2020/07/23,771,47
121,2020/07/19,524,7
122,2020/07/09,504,1
123,2020/12/29,144,11
124,2020/07/28,901,19
125,2020/12/22,581,23
126,2021/02/20,925,47
127,2020/01/21,607,10
128,2021/02/13,94,42
129,2020/05/26,1000,8
130,2020/07/04,906,26
131,2020/01/31,746,35
132,2020/05/26,907,14
133,2020/02/15,521,46
134,2020/06/30,557,25
135,2021/02/18,220,6
136,2020/11/23,546,20
137,2020/05/18,458,41
138,2020/05/11,432,12
139,2020/05/21,545,8
140,2020/09/13,250,38
141,2021/02/22,139,30
142,2020/11/13,206,26
143,2020/12/16,26,2
144,2020/09/13,849,33
145,2021/01/12,271,27
146,2020/04/25,962,4
147,2020/02/02,535,28
148,2020/02/21,188,17
149,2020/07/19,343,1
150,2020/11/13,743,16
151,2021/02/13,367,37
152,2020/09/05,448,37
153,2020/12/06,70,19
154,2020/05/08,805,45
155,2020/04/23,521,50
156,2020/05/11,413,36
157,2020/01/17,641,12
158,2020/01/13,262,27
159,2020/06/16,604,22
160,2020/03/24,224,39
161,2020/02/15,791,20
162,2020/03/16,746,46
163,2020/02/21,239,33
164,2020/10/12,427,30
165,2020/10/21,432,13
166,2020/08/16,912,13
167,2021/01/04,382,24
168,2020/12/20,994,17
169,2020/07/27,668,4
170,2020/01/28,753,14
171,2020/12/10,613,29
172,2020/09/20,262,2
173,2020/05/05,82,33
174,2021/01/13,908,34
175,2020/02/19,402,47
176,2020/07/03,197,13
177,2020/11/04,892,32
178,2020/03/21,583,38
179,2020/01/01,699,12
180,2020/12/05,618,41
181,2020/03/20,57,22
182,2020/04/16,630,5
183,2020/02/08,595,40
184,2021/02/03,954,42
185,2020/09/17,179,16
186,2020/10/26,155,16
187,2021/02/23,621,12
188,2020/06/13,402,46
189,2020/03/30,930,3
190,2020/02/20,878,44
191,2020/12/26,822,39
192,2020/06/06,115,18
193,2020/05/09,598,49
194,2021/01/08,338,49
195,2021/02/26,249,29
196,2020/04/14,527,46
197,2020/07/10,304,29
198,2020/03/12,232,46
199,2021/02/04,902,38
200,2020/07/09,104,8
201,2021/01/17,95,5
202,2020/09/11,293,23
203,2020/05/05,52,30
204,2021/02/27,295,43
205,2021/01/05,174,1
206,2020/11/30,80,43
207,2020/05/23,874,27
208,2021/02/20,623,20
209,2020/08/08,854,21
210,2020/09/19,756,46
211,2020/05/26,412,5
212,2020/04/11,691,35
213,2021/02/13,355,1
214,2020/02/29,179,15
215,2020/08/02,33,14
216,2020/01/19,174,23
217,2020/08/23,323,7
218,2020/07/25,552,41
219,2020/11/27,622,40
220,2020/12/17,478,37
221,2020/09/02,782,20
222,2020/07/18,934,5
223,2020/07/20,774,27
224,2021/01/05,831,11
225,2020/05/04,757,40
226,2021/02/14,323,23
227,2020/03/31,821,13
228,2020/04/14,492,40
229,2020/09/22,587,14
230,2020/01/14,98,4
231,2020/07/12,960,37
232,2020/11/08,235,6
233,2020/06/02,353,26
234,2020/12/20,741,50
235,2020/09/04,492,26
236,2020/12/08,148,18
237,2020/03/23,999,4
238,2021/02/06,995,22
239,2020/02/14,795,45
240,2020/03/04,757,1
241,2020/04/28,953,21
242,2020/01/23,595,5
243,2020/10/14,35,24
244,2020/07/01,373,40
245,2020/10/06,879,19
246,2020/10/04,305,26
247,2020/10/02,329,39
248,2020/09/06,865,48
249,2020/06/22,700,5
250,2021/01/23,485,40
251,2020/04/29,577,38
252,2020/08/25,937,7
253,2021/01/22,941,32
254,2020/08/05,276,3
255,2020/01/18,86,31
256,2020/11/25,263,14
257,2020/11/06,2,41
258,2021/01/05,859,33
259,2021/02/21,262,28
260,2020/04/05,370,9
261,2020/05/27,142,1
262,2020/04/16,302,39
263,2021/01/16,774,44
264,2021/02/16,860,40
265,2020/12/08,904,50
266,2020/11/17,943,16
267,2020/06/14,808,40
268,2020/12/19,213,17
269,2020/05/30,959,18
270,2020/03/29,199,11
271,2020/05/05,126,5
272,2020/11/15,34,36
273,2021/02/16,36,34
274,2020/02/19,486,17
275,2020/10/01,652,3
276,2020/01/26,507,2
277,2020/03/04,645,28
278,2020/04/22,813,29
279,2020/01/28,917,35
280,2020/01/02,152,45
281,2020/10/12,285,5
282,2020/06/29,965,2
283,2020/10/30,929,35
284,2020/10/24,612,16
285,2020/06/12,310,44
286,2020/11/07,342,1
287,2020/09/08,908,35
288,2020/07/29,468,23
289,2020/09/09,293,27
290,2020/08/13,181,10
291,2020/06/25,337,38
292,2020/06/27,822,37
293,2021/02/12,882,36
294,2020/09/16,512,3
295,2020/10/09,73,20
296,2020/12/24,520,25
297,2020/12/19,165,44
298,2021/01/20,102,36
299,2020/05/26,559,5
300,2020/02/02,929,25
301,2021/01/05,113,16
302,2020/12/16,504,42
303,2020/10/13,364,35
304,2020/04/12,205,20
305,2021/02/03,16,35
306,2020/09/18,325,34
307,2020/11/13,595,49
308,2020/10/23,493,31
309,2020/11/17,686,4
310,2020/06/26,372,2
311,2020/06/17,584,14
312,2020/07/12,315,45
313,2020/12/15,537,15
314,2020/03/28,399,34
315,2020/06/24,759,21
316,2020/10/21,946,29
317,2020/10/13,804,2
318,2020/11/30,85,38
319,2020/03/15,411,39
320,2020/08/22,229,19
321,2020/11/20,307,22
322,2020/03/05,536,37
323,2020/11/17,910,30
324,2020/08/18,947,27
325,2020/08/08,617,43
326,2020/10/22,243,14
327,2020/01/11,835,7
328,2020/04/06,728,44
329,2020/07/08,495,27
330,2020/12/03,355,6
331,2020/04/05,472,14
332,2020/06/26,652,28
333,2020/04/07,345,23
334,2020/04/22,433,7
335,2020/11/23,736,26
336,2020/05/19,151,43
337,2020/07/23,243,5
338,2020/10/21,595,37
339,2020/08/22,67,21
340,2020/07/17,403,14
341,2020/12/06,52,28
342,2020/03/28,692,2
343,2020/08/31,426,12
344,2020/09/01,680,3
345,2020/11/19,213,24
346,2020/12/03,821,39
347,2020/11/27,904,12
348,2020/12/20,160,25
349,2020/03/11,189,45
350,2020/09/09,848,48
351,2020/11/22,514,42
352,2020/04/26,430,20
353,2020/07/17,277,1
354,2020/05/01,989,5
355,2020/08/28,572,24
356,2020/06/27,414,17
357,2020/05/12,275,50
358,2020/06/25,428,43
359,2020/01/14,916,43
360,2020/07/07,753,22
361,2021/01/28,177,37
362,2021/02/09,978,10
