orderID;productID;quantity
1;1;2
1;2;4
1;5;4
1;10;1
1;12;1
1;14;1
1;16;4
1;18;5
1;20;2
2;3;5
2;4;3
2;15;5
2;17;1
2;20;4
3;2;2
3;10;3
3;13;4
3;14;1
3;18;5
4;7;3
4;10;2
4;11;3
4;13;4
4;14;2
4;15;1
4;20;1
5;5;4
5;6;4
5;7;1
5;8;3
5;9;3
5;12;4
5;13;3
5;15;3
5;20;3
6;7;4
6;10;2
6;17;4
6;18;1
7;3;4
7;7;3
7;11;5
7;14;2
7;15;2
7;17;4
8;1;4
8;3;1
8;7;3
8;11;3
8;16;5
9;1;1
9;14;2
10;2;5
10;3;1
10;4;3
10;9;3
10;12;1
10;13;5
10;16;3
10;19;5
11;6;4
11;15;4
11;17;5
12;1;1
12;4;2
12;5;5
12;8;3
12;11;5
12;13;5
12;15;1
12;17;1
13;3;5
13;4;5
13;6;4
13;7;2
13;9;4
13;14;4
13;17;1
13;20;3
14;6;2
14;10;5
14;13;4
15;5;4
15;9;4
15;13;5
16;1;3
16;2;3
16;4;3
16;14;3
16;15;2
17;6;3
17;8;3
17;13;5
18;4;4
18;5;4
18;7;2
19;18;2
19;20;1
20;5;5
20;11;2
21;2;1
21;3;2
21;6;5
21;7;5
21;8;1
21;12;3
22;1;2
22;3;5
22;4;5
22;5;1
22;7;1
22;8;3
23;2;2
23;4;5
23;5;3
23;10;4
23;11;1
23;12;3
23;13;5
23;16;2
23;19;3
24;5;3
24;8;1
24;13;3
24;17;3
25;1;3
25;5;2
25;6;3
25;7;1
25;8;5
25;19;5
26;4;2
26;14;2
26;17;3
26;18;2
27;18;5
28;1;5
28;2;2
28;13;3
29;4;5
29;18;4
29;20;5
30;6;3
30;7;2
30;14;4
30;19;1
31;1;5
31;3;2
31;4;3
31;12;1
31;13;3
31;13;1
32;3;2
32;4;3
32;7;2
32;7;3
32;18;2
32;20;1
33;7;4
33;17;3
34;4;3
34;6;1
34;18;3
34;19;4
35;1;3
35;14;2
35;19;1
35;20;4
36;3;3
36;10;5
36;11;4
36;12;5
37;4;3
37;10;3
37;13;5
37;17;1
37;20;1
38;5;3
38;8;2
38;20;1
39;2;2
39;9;2
39;15;5
39;16;4
40;4;2
40;5;1
40;7;4
40;18;5
41;8;1
41;9;3
41;14;2
41;16;3
42;1;2
42;7;2
43;9;4
43;10;5
43;12;3
43;20;2
44;3;2
44;15;5
44;17;1
45;1;3
45;7;3
45;8;3
45;13;3
45;15;5
45;17;1
45;20;1
46;1;2
46;3;2
46;4;1
46;13;3
46;16;5
46;19;2
47;1;3
47;3;4
47;4;2
47;11;5
47;15;1
47;18;5
48;12;2
48;13;3
48;16;3
48;19;3
48;20;4
49;6;4
49;14;1
49;16;3
50;2;2
50;15;5
50;16;4
50;17;4
51;5;3
51;8;3
51;10;4
51;11;5
51;12;2
51;13;5
51;15;5
52;6;3
